state,county,place,year,hazard,incident_type,what_happened,source_url
Hawaii,Maui County,Lahaina,2023,wildfire,siren_failure,None of Maui's 80 outdoor warning sirens were activated as wildfire overran Lahaina; emergency chief defended the decision then resigned,https://www.nbcnews.com/news/us-news/hawaiis-emergency-warning-sirens-werent-activated-alert-residents-agen-rcna99475
Colorado,Boulder County,Superior,2021,wildfire,optin_gap,Only 24% of county residents had opted in to Everbridge alerts; as few as 1 in 5 people sent evacuation warnings confirmed receiving them,https://coloradosun.com/2022/01/26/marshall-fire-boulder-evacuation-alert/
California,Butte County,Paradise,2018,wildfire,optin_gap,Opt-in CodeRED alerts reached about 7;000 of 52;000 evacuees; fewer than half of residents had signed up and 17 cell towers burned the first day,https://www.pbs.org/wgbh/frontline/article/camp-fire-anniversary-new-details-troubled-evacuation/
Oregon,Jackson County,Talent,2020,wildfire,alert_not_sent,County's Everbridge system never sent an evacuation alert to Talent before the Almeda Fire burned through; many residents got no official warning,https://kobi5.com/news/no-evacuation-everbridge-alert-sent-for-talent-during-almeda-fire-137966/
Texas,Kerr County,Kerrville,2025,flood,siren_failure,Kerr County had no outdoor flood sirens along the Guadalupe despite years of debate; overnight cellphone alerts couldn't reach campers without phones; 100+ died,https://www.nbcnews.com/news/us-news/deadly-texas-floods-one-town-warning-siren-rcna217202
California,Los Angeles County,Altadena,2025,wildfire,alert_delayed,Evacuation orders for west Altadena were not issued until 3:25 a.m.; over 9 hours after ignition; 18 of the fire's 19 deaths occurred west of Lake Avenue,https://www.nbcnews.com/news/us-news/eaton-fire-deaths-los-angeles-evacuation-orders-took-hours-rcna188729
Florida,Lee County,Fort Myers Beach,2022,hurricane,alert_delayed,Lee County ordered evacuation a day after neighboring counties and under 24 hours before landfall; 72 of Florida's 149 Ian deaths were in Lee County,https://www.npr.org/2022/10/08/1127501943/hurricane-ian-florida-delayed-evacuations-lee-county
Hawaii,Honolulu County,Honolulu,2018,other,false_alarm,Errant ballistic missile alert went to phones statewide during a drill; correction took 38 minutes because no cancellation process existed,https://en.wikipedia.org/wiki/2018_Hawaii_false_missile_alert
California,Sonoma County,Santa Rosa,2017,wildfire,alert_not_sent,Officials chose not to send WEA cellphone alerts as the Tubbs Fire raced into Santa Rosa overnight; state review cited limited awareness of the system; 24 died,https://www.kqed.org/news/11652293/report-as-wildfires-raced-through-sonoma-warnings-were-slowed-by-confusion-poor-coordination
Tennessee,Sevier County,Gatlinburg,2016,wildfire,alert_not_sent,Requested IPAWS evacuation message was never delivered as phones internet and power failed; the alert reached only radio and TV; 14 died,https://www.wate.com/news/officials-no-text-alerts-during-gatlinburg-evacuations-because-of-communications-failure-2/amp/
California,Santa Barbara County,Montecito,2018,flood,evacuation_challenge,Debris flow killed 23; hardest-hit low-lying neighborhoods were under voluntary warning rather than mandatory evacuation order and many residents stayed,https://en.wikipedia.org/wiki/2018_Southern_California_mudflows
California,Los Angeles County,Malibu,2018,wildfire,evacuation_challenge,County after-action review found outdated policies inconsistent practices and communications vulnerabilities weakened Woolsey Fire alerts and evacuations,https://file.lacounty.gov/SDSInter/bos/supdocs/144968.pdf
Texas,Dallas County,Dallas,2017,other,false_alarm,Hacker triggered all 156 outdoor warning sirens for about 90 minutes near midnight; more than 4;400 calls flooded 911 and the system was shut down,https://www.npr.org/sections/thetwo-way/2017/04/08/523147464/hacking-blamed-for-late-night-emergency-sirens-in-dallas
Mississippi,Sharkey County,Rolling Fork,2023,tornado,siren_failure,Residents said they heard no tornado sirens as the EF4 leveled much of town; a local siren was reportedly not working when the storm hit,https://www.washingtonpost.com/nation/2023/03/29/rolling-fork-mississippi-tornado-sirens/
Texas,Ochiltree County,Perryton,2023,tornado,siren_failure,City lost power at the moment staff went to activate outdoor sirens so they never sounded; EF3 struck with minimal warning killing three,https://abc7amarillo.com/news/local/perrytons-outdoor-siren-system-failed-when-deadly-ef3-tornado-knocked-out-power-city-manager-says-david-landis-chief-nim-kidd-texas-division-of-emergency-management-tdem-mobile-app-weather-radio
Missouri,St. Louis city,St. Louis,2025,tornado,siren_failure,Sirens never sounded for the May 16 EF3; CEMA staff were offsite and the fire department never pressed the button; report cited multiple cascading failures,https://www.stlpr.org/government-politics-issues/2025-08-18/st-louis-tornado-siren-report
California,Butte County,Oroville,2017,dam,evacuation_challenge,Feared emergency spillway collapse prompted a sudden evacuation order for about 188;000 people downstream; residents fled with little notice jamming roads,https://www.cnn.com/2017/02/12/us/california-oroville-dam-failure/index.html
Michigan,Midland County,Midland,2020,dam,evacuation_challenge,Edenville and Sanford dam failures forced rapid evacuation of about 11;000 residents; FEMA conducted a review of the dam incident response and alerting,https://www.fema.gov/sites/default/files/documents/fema_michigan-dam-incident-response-review_report.pdf
Nebraska,Boyd County,Spencer,2019,dam,alert_not_sent,Spencer Dam collapsed during the 2019 bomb cyclone; the man living below was swept away and his family said he was not given enough time to evacuate,https://nebraskapublicmedia.org/en/news/news-articles/nppd-to-pay-25-million-to-family-of-dam-collapse-victim/
Texas,Harris County,Houston,2017,dam,alert_not_sent,Homes behind Addicks and Barker dams were left out of evacuation orders when floodwater releases began; officials knew releases would flood neighborhoods,https://apps.texastribune.org/harvey-reservoirs/
South Carolina,Richland County,Columbia,2015,dam,evacuation_challenge,Historic rains breached dozens of dams statewide; Gills Creek watershed dams failed before dawn forcing sudden evacuations around Columbia; 19 died,https://www.npr.org/sections/thetwo-way/2015/10/06/446352304/s-c-flooding-18-dams-breached-and-death-toll-rises
Tennessee,Humphreys County,Waverly,2021,flood,alert_delayed,Flash Flood Emergency was issued only as record floodwater was already sweeping through town; 20 died and the 911 center itself was flooded,https://journals.ametsoc.org/view/journals/bams/105/10/BAMS-D-23-0205.1.xml
Maryland,Howard County,Ellicott City,2018,flood,alert_delayed,Flash Flood Warning came at 4:26 p.m. and Flash Flood Emergency at 4:40 p.m. as Main Street hit its highest water; second catastrophic flood in two years,https://www.weather.gov/lwx/EllicottCityFlood2018
New York,Queens County,New York City,2021,flood,evacuation_challenge,Ida's record 3.5 in/hr rain triggered NYC's first Flash Flood Emergency; most of the city's deaths were drownings in unregulated basement apartments,https://www.cambridge.org/core/journals/disaster-medicine-and-public-health-preparedness/article/immediate-injury-deaths-related-to-the-remnants-from-hurricane-ida-in-new-york-city-september-12-2021/69BD8C527FD016A2CAC703C7023B2251
North Carolina,Buncombe County,Asheville,2024,hurricane,alert_delayed,Downed cell towers delayed transmission of Buncombe County's evacuation order; 29 of 43 NC counties where Helene deaths occurred sent no IPAWS alerts,https://www.cbsnews.com/news/hurricane-helene-emergency-alerts-north-carolina/
Tennessee,Unicoi County,Erwin,2024,flood,evacuation_challenge,Six Impact Plastics workers died after staying at the plant as Helene floodwaters rose; survivors allege employees were not released in time to escape,https://www.npr.org/2024/11/02/g-s1-28731/hurricane-helene-tennessee-plastics-factory-deaths-lawsuit
California,Los Angeles County,West Hills,2025,wildfire,false_alarm,Missing evacuation polygon caused a Kenneth Fire alert to hit nearly 10 million phones countywide; a second erroneous alert followed the next day,https://laist.com/news/la-county-alert-prepare-evacuation
Florida,Bay County,Mexico Beach,2018,hurricane,evacuation_challenge,285 Mexico Beach residents defied mandatory evacuation before Category 5 landfall; 80% of surveyed residents underestimated the storm; 14-ft surge hit,https://en.wikipedia.org/wiki/Hurricane_Michael
Louisiana,Orleans Parish,New Orleans,2021,hurricane,evacuation_challenge,Ida intensified too fast for New Orleans to order mandatory evacuation or contraflow; the city needs 72 hours to fully evacuate and had far less,https://www.nbcnews.com/news/weather/six-hours-changed-hurricane-ida-s-speed-power-new-orleans-n1277941
Texas,Hays County,Wimberley,2015,flood,infrastructure_failure,Blanco River rose over 40 feet in the middle of the night; the area's lone river gauge was overwhelmed then destroyed limiting warning; at least 12 died,https://cbsaustin.com/weather/weather-blog/lessons-learned-from-the-historic-wimberley-floods-of-2015
California,Shasta County,Redding,2018,wildfire,optin_gap,Sheriff issued 59 CodeRED notifications but opt-in alerts reached only 31;979 registered phones; four of the seven dead were killed in their own neighborhoods,https://www.abc10.com/article/news/local/carr-fire-dozens-of-alerts-yet-people-still-died/103-581836187
Oregon,Marion County,Mill City,2020,wildfire,alert_delayed,Level 3 evacuation orders for Santiam Canyon towns were issued suddenly near midnight as fires merged; the late orders sowed confusion and chaos,https://en.wikipedia.org/wiki/Santiam_Fire
Arizona,Yavapai County,Yarnell,2013,wildfire,alert_delayed,Evacuation warnings were late; incomplete or nonexistent; orders relied on landlines many residents no longer had; some fled only on seeing flames,https://www.phoenixnewtimes.com/news/yarnell-hill-fire-five-years-later-lessons-and-dangers-10564968/
Oklahoma,Oklahoma County,Oklahoma City,2013,tornado,evacuation_challenge,Broadcasters urged residents to flee south from the El Reno tornado; mass car evacuation gridlocked freeways; 500+ could have died had it held its track,https://en.wikipedia.org/wiki/2013_El_Reno_tornado
Massachusetts,Essex County,Lawrence,2018,other,evacuation_challenge,Sudden gas-system overpressure fires forced about 30;000 people to evacuate three towns at once; notification was split across state WEA and separate town systems,https://downloads.regulations.gov/PHMSA-2021-0046-0092/attachment_1.pdf
Kentucky,Knott County,Hindman,2022,flood,infrastructure_failure,Most residents learned of the overnight flood by watching water rise; NWS alerts often failed to arrive amid poor cell and broadband coverage; 39+ died,https://kentuckylantern.com/2023/03/27/kentuckians-lacked-forecasting-broadband-as-july-storms-quickly-swelled-into-deadly-flood/
Kentucky,Graves County,Mayfield,2021,tornado,evacuation_challenge,Candle factory workers said supervisors threatened firing if they left ahead of the tornado; the plant collapsed and eight workers died,https://www.nbcnews.com/news/us-news/kentucky-tornado-factory-workers-threatened-firing-left-tornado-employ-rcna8581
Michigan,Otsego County,Gaylord,2022,tornado,siren_failure,EF3 hit a city with no outdoor tornado sirens anywhere in Otsego County; CodeRED phone alerts went out eight minutes before touchdown; two died,https://www.wzzm13.com/article/news/local/no-sirens-before-gaylord-tornado/69-0aae4f7f-fa86-4189-b8ba-b50e1887c2b7
West Virginia,Greenbrier County,White Sulphur Springs,2016,flood,infrastructure_failure,Thousand-year flood killed 23; a 2004 statewide flood protection plan recommending warning system upgrades had never been implemented,https://mountainstatespotlight.org/2025/08/29/flood-fund-still-unfunded/
New Mexico,San Miguel County,Las Vegas,2022,wildfire,evacuation_challenge,More than 800 homes were ordered evacuated; the sheriff said the canyon's single route in and out created safety concerns during the state's largest fire,https://www.santafenewmexican.com/news/wildfires/new-wave-of-evacuations-in-hermits-peak-calf-canyon-fire/article_411038ba-d5fc-11ec-a4f6-1bdd3d3b3dc6.html
California,Los Angeles County,Pacific Palisades,2025,wildfire,evacuation_challenge,Evacuation gridlock led drivers to abandon nearly 200 cars on Palisades Drive and Sunset Blvd; bulldozers pushed vehicles aside to clear escape routes,https://ktla.com/news/california/wildfires/palisades-fire-bulldozer-abandoned-cars/
Oregon,Marion County,Salem,2018,other,false_alarm,Statewide WEA reading only 'civil emergency' was sent for a local drinking-water advisory; the cryptic alert caused panic well beyond Salem,https://ktvz.com/news/2018/05/30/ominous-civil-emergency-text-alert-a-mostly-false-alarm/
Washington,Snohomish County,Oso,2014,other,alert_not_sent,Landslide killed 43 with no warning; decades of documented slide hazard were never sufficiently communicated to residents below the hillside,https://www.seattletimes.com/seattle-news/after-2014-oso-landslide-what-did-we-learn-about-preventing-disaster/
Hawaii,Honolulu County,Honolulu,2025,tsunami,evacuation_challenge,Tsunami warning evacuation gridlocked Oahu roads for hours with multihour commutes; officials cited over-evacuation and gaps in evacuation planning,https://www.staradvertiser.com/2025/07/31/hawaii-news/tsunami-threat-triggered-islandwide-gridlock-reveals-gaps-in-emergency-evacuation/
Illinois,Madison County,Edwardsville,2021,tornado,evacuation_challenge,EF3 collapsed an Amazon warehouse; the storm shelter location was not properly communicated and six workers sheltering in a bathroom died,https://en.wikipedia.org/wiki/Edwardsville_Amazon_warehouse_collapse
California,Santa Cruz County,Santa Cruz,2020,wildfire,success_reference,County debuted Zonehaven evacuation zones during the CZU fire and retained the zone system for debris-flow evacuations in the burn scar,https://www.santacruzcountyca.gov/OR3/Response/PlanandPrepare/DebrisFlow.aspx
California,El Dorado County,South Lake Tahoe,2021,wildfire,success_reference,Cal Fire and Zonehaven officials said zone-based evacuations were carried out in a timely manner limiting injuries and deaths during the Caldor Fire,https://localnewsmatters.org/2021/10/28/technology-gives-critical-assist-to-firefighting-efforts/
California,Los Angeles County,Malibu,2024,wildfire,success_reference,City directed residents to Genasys Protect zone maps for real-time Franklin Fire evacuation status and phased zone-by-zone repopulation,https://www.malibucity.org/1167/Franklin-Fire
California,Los Angeles County,Countywide,2025,wildfire,success_reference,Emergency teams issued 400+ zone status changes via Genasys Protect in the first two weeks of the January fires; hundreds of thousands used the app,https://genasys.com/blog/a-new-era-in-emergency-response-reflecting-on-los-angeles-countys-wildfire-outbreak/
