state,wildfire,flood,earthquake,hurricane,tornado,tsunami,terrorism,prep_gap,funding_potential,composite_score,priority_tier,key_hazards,top_programs,em_agency_url,grants_page_url,statewide_portal_url
Texas,7,9,4,8,9,2,7,8,10,7.8,Tier 1 - Immediate,"Hurricanes, floods, tornadoes, wildfire, dam risk (Whitney, Canyon, Somerville)","NGWSGP, HSGP (SHSP/UASI), HMGP, AFG, eGrants portal",https://tdem.texas.gov,https://tdem.texas.gov/grants/,
California,10,7,10,2,2,7,8,6,10,7.4,Tier 1 - Immediate,"Wildfire (LA, Riverside, San Diego), earthquake (San Andreas), tsunami","NGWSGP, HSGP, state interop grants, HMGP (if restored)",https://www.caloes.ca.gov,https://www.caloes.ca.gov/office-of-the-director/policy-administration/finance-administration/grants-management,https://www.caloes.ca.gov/office-of-the-director/policy-administration/finance-administration/grants-management/search-for-grants
Florida,5,7,1,10,4,1,7,7,9,6.6,Tier 2 - High Priority,"Hurricanes (34% homes at surge risk), flood, wildfire","NGWSGP, HSGP (UASI - Miami), HMGP, state resilience",https://www.floridadisaster.org,https://www.floridadisaster.org/dem/finance/grants-unit/,https://flshmp-floridadisaster.hub.arcgis.com/pages/funding
Washington,5,5,8,1,2,9,6,8,8,6.5,Tier 2 - High Priority,"Tsunami (67% at-risk pop), earthquake (Cascadia), wildfire","NGWSGP, CDRZ designation, HSGP, state programs",https://mil.wa.gov/emergency-management-division,https://mil.wa.gov/emergency-management-grants,
Louisiana,3,9,1,10,3,1,6,7,9,6.4,Tier 2 - High Priority,"Hurricanes (52% homes at surge risk), flood, storm surge","NGWSGP, HSGP, HMGP, EMPG",https://gohsep.la.gov,https://gohsep.la.gov/Grants,
Oklahoma,6,6,6,3,10,1,5,7,8,6.3,Tier 2 - High Priority,"Tornadoes, grass fires, induced seismicity, flash floods","NGWSGP, HSGP, HMGP, AFG",https://www.ok.gov/homeland,https://www.ok.gov/homeland/Grants_&_Funding/,
Oregon,5,5,8,1,2,9,5,7,8,6.2,Tier 2 - High Priority,"Tsunami (Seaside), earthquake (Cascadia), wildfire","NGWSGP, CDRZ, HSGP, Cascadia Pilot",https://www.oregon.gov/oem,https://www.oregon.gov/oem/emresources/Pages/Grants.aspx,
New York,3,7,3,5,2,1,8,7,8,6.0,Tier 2 - High Priority,"Flood (NYC Cloudburst $400M), hurricane, terrorism","NGWSGP, HSGP (UASI - NYC), NY interop ($38M), NY CI grants",https://www.dhses.ny.gov,https://www.dhses.ny.gov/grants,
Illinois,3,6,2,1,7,1,7,8,7,5.7,Tier 2 - High Priority,"Tornado, flood, terrorism (Chicago UASI), LOW PREPAREDNESS (bottom 10)","NGWSGP, HSGP (UASI - Chicago), EMPG",https://iemaohs.illinois.gov,https://iemaohs.illinois.gov/hs/hsac/empg.html,
Alabama,4,6,2,6,7,1,5,7,7,5.6,Tier 2 - High Priority,"Hurricane, tornado, wildfire, flood","NGWSGP, HSGP, ALEA grants, ADECA",https://ema.alabama.gov,https://www.alea.gov/homeland-security-grant-program,https://adeca.alabama.gov/esg/
Georgia,4,8,2,5,4,1,5,7,7,5.5,Tier 2 - High Priority,"Flood (Atlanta 236% exposure increase), hurricane (Savannah)","NGWSGP, HSGP, HMGP, EMPG",https://gema.georgia.gov,https://gema.georgia.gov/what-we-do/grants,
North Carolina,4,6,2,7,4,1,6,6,7,5.5,Tier 2 - High Priority,"Hurricane, flood, wildfire, grid attacks (Moore County)","NGWSGP, HSGP, HMGP, COPS TEP",https://www.ncdps.gov/our-organization/emergency-management,https://www.ncdps.gov/NCEMGrants,
Tennessee,3,6,7,2,5,1,6,6,7,5.5,Tier 2 - High Priority,"Earthquake (Memphis/New Madrid), tornado, flood","NGWSGP, HSGP, TEMA grants, state rural grants",https://www.tn.gov/tema,https://www.tn.gov/tema/emergency-community/grant-programs.html,https://www.tn.gov/rural/search-for-grants---resources.html
Colorado,8,5,3,1,5,1,5,7,7,5.4,Tier 3 - Medium Priority,"Wildfire (Denver, Colorado Springs WUI), drought","NGWSGP, HSGP (DHSEM awarded 25 SHSP projects), AFG",https://dhsem.colorado.gov,https://dhsem.colorado.gov/grants-management/grant-programs,
South Carolina,4,6,3,8,3,1,5,6,7,5.4,Tier 3 - Medium Priority,"Hurricane (21% homes at surge risk), flood, wildfire","NGWSGP, HSGP, HMGP, state resilience",https://scemd.org,https://www.scemd.org/em-professionals/grants/,
Virginia,3,5,2,6,3,1,7,6,7,5.3,Tier 3 - Medium Priority,"Hurricane (Norfolk 13% surge), flood, terrorism (DC proximity)","NGWSGP, HSGP, HMGP, COPS TEP",https://www.vaemergency.gov,https://www.vaemergency.gov/grants/,
Hawaii,3,3,5,4,1,7,4,7,7,5.3,Tier 3 - Medium Priority,"Tsunami, wildfire (Lahaina failure), volcano, hurricane","NGWSGP, HSGP, HMGP, EMPG",https://dod.hawaii.gov/hiema,https://dod.hawaii.gov/hiema/main/emergency-management-performance-grant-empg-program/,
Arizona,6,5,3,1,3,1,4,8,7,5.2,Tier 3 - Medium Priority,"Wildfire, flood (94.3% maps outdated), LOW PREPAREDNESS (bottom 10)","NGWSGP, HSGP, HMGP, DEMA grants",https://dema.az.gov,https://dema.az.gov/emergency-management/grants,
Pennsylvania,2,8,2,3,3,1,6,6,7,5.1,Tier 3 - Medium Priority,"Flood (1,384 mi rail at risk - #1 nationally), infrastructure","NGWSGP, HSGP, HMGP, DOE GRIP",https://www.pa.gov/agencies/pema,https://www.pa.gov/agencies/pema/emergency-managers/grants,
Iowa,2,10,1,1,7,1,4,6,7,5.0,Tier 3 - Medium Priority,"Flood (276% exposure increase by 2050), tornado","NGWSGP, HMGP, EMPG, HSGP",https://homelandsecurity.iowa.gov,https://homelandsecurity.iowa.gov/funding-opportunities/,
Mississippi,3,7,1,7,5,1,4,6,6,4.9,Tier 3 - Medium Priority,"Hurricane (9% homes surge risk), flood, tornado","NGWSGP, HSGP, HMGP, EMPG",https://www.msema.org,https://www.msema.org/grants/,
New Jersey,2,6,2,5,2,1,7,5,6,4.8,Tier 3 - Medium Priority,"Flood (Jersey Shore surge), hurricane, terrorism","HSGP, NJHOMELAND grants, HMGP",https://www.njhomelandsecurity.gov,https://www.njhomelandsecurity.gov/programs/grants,
Kansas,2,8,1,1,8,1,4,6,6,4.7,Tier 3 - Medium Priority,"Tornado, flood (204% exposure increase), dam risk (Kanopolis, Milford)","NGWSGP, HMGP, HSGP, dam safety grants",https://www.kansastag.gov,https://www.kansastag.gov/KDEM.asp?PageID=188,
Maryland,2,5,2,4,2,1,7,5,6,4.6,Tier 3 - Medium Priority,"Flood, hurricane, terrorism (Baltimore grid plot)","HSGP, HMGP, COPS TEP, EMPG",https://mdem.maryland.gov,https://mdem.maryland.gov/Pages/grants-and-funding.aspx,
Missouri,3,7,3,1,7,1,4,5,6,4.6,Tier 3 - Medium Priority,"Tornado, flood, earthquake (New Madrid edge)","HSGP, HMGP, SEMA grants, EMPG",https://sema.dps.mo.gov,https://sema.dps.mo.gov/programs/grants/,
Nevada,6,6,4,1,2,1,3,5,7,4.5,Tier 3 - Medium Priority,"Wildfire (Reno), flood (99.5% FEMA maps outdated, 74.3% losses outside zones)","NGWSGP, HMGP, HSGP, EMPG",https://dem.nv.gov,https://dem.nv.gov/grant/,
Arkansas,3,7,3,2,7,1,3,5,6,4.5,Tier 3 - Medium Priority,"Tornado, flood, earthquake (New Madrid edge)","HSGP, ADEM grants, HMGP, AFG",https://dps.arkansas.gov/emergency-management/adem,https://dps.arkansas.gov/emergency-management/adem/grants-funding/,
South Dakota,2,8,1,1,6,1,3,6,6,4.4,Tier 4 - Monitor,"Flood (215% exposure increase, 58.2% FEMA map coverage), tornado","NGWSGP, HMGP, HSGP, EMPG",https://dps.sd.gov/emergency-services/emergency-management,https://dps.sd.gov/emergency-services/emergency-management/grants,
Massachusetts,2,4,2,4,2,1,6,5,6,4.4,Tier 4 - Monitor,"Flood, hurricane, nor'easter, terrorism (Boston UASI)","HSGP (UASI - Boston), MA fire safety ($5M), AFG",https://www.mass.gov/orgs/massachusetts-emergency-management-agency,https://www.mass.gov/info-details/grants-for-fire-departments,
District of Columbia,1,3,1,2,1,1,10,4,6,4.4,Tier 4 - Monitor,"Terrorism (highest risk), flood","HSGP (UASI), HSEMA grants, COPS",https://hsema.dc.gov,https://hsema.dc.gov/page/grants,
Utah,5,6,5,1,2,1,3,5,6,4.3,Tier 4 - Monitor,"Wildfire (Salt Lake WUI), flood (88.7% losses outside FEMA zones)","NGWSGP, HSGP, HMGP, EMPG",https://dem.utah.gov,https://dem.utah.gov/grants/,
Idaho,7,4,4,1,2,1,3,5,6,4.2,Tier 4 - Monitor,"Wildfire (Boise WUI), flash drought","NGWSGP, HSGP, AFG, state EM grants",https://ioem.idaho.gov,https://ioem.idaho.gov/grants/,
Michigan,2,5,1,1,4,1,5,5,6,4.2,Tier 4 - Monitor,"Flood, severe storms, infrastructure aging","HSGP, EMPG, AFG, state EMHSD grants",https://www.michigan.gov/msp/divisions/emhsd,https://www.michigan.gov/msp/divisions/emhsd/grant-programs,
Ohio,2,5,2,1,5,1,5,5,5,4.1,Tier 4 - Monitor,"Tornado, flood, severe storms","HSGP, EMA grants, AFG, EMPG",https://ema.ohio.gov,https://ema.ohio.gov/prepare-respond/preparedness-grants,
Kentucky,2,7,3,1,5,1,3,5,5,4.0,Tier 4 - Monitor,"Flood, tornado, earthquake (New Madrid edge)","HSGP, KYEM grants, HMGP, EMPG",https://kyem.ky.gov,https://kyem.ky.gov/Who%20We%20Are/Pages/Grants.aspx,
Indiana,2,5,1,1,6,1,4,5,5,3.9,Tier 4 - Monitor,"Tornado, flood, severe storms","HSGP, DHS grants, AFG, EMPG",https://www.in.gov/dhs,https://www.in.gov/dhs/grants-management/,
Minnesota,2,5,1,1,5,1,4,5,5,3.9,Tier 4 - Monitor,"Flood, tornado, severe winter storms","HSGP, HSEM grants, EMPG, AFG",https://dps.mn.gov/divisions/hsem,https://dps.mn.gov/divisions/hsem/programs/Pages/homeland-security-and-emergency-management-grants.aspx,
Nebraska,2,6,1,1,7,1,3,5,5,3.9,Tier 4 - Monitor,"Tornado, flood, severe storms","HSGP, NEMA grants, AFG, EMPG",https://nema.nebraska.gov,https://nema.nebraska.gov/grants,
Delaware,2,6,1,7,1,1,4,4,5,3.9,Tier 4 - Monitor,"Hurricane (20% homes surge risk), flood","HSGP, DEMA grants, HMGP",https://dema.delaware.gov,https://dema.delaware.gov/grants/,
New Mexico,6,4,3,1,2,1,3,5,5,3.8,Tier 4 - Monitor,"Wildfire, drought, flash flood","HSGP, DHSEM grants, AFG, EMPG",https://www.nmdhsem.org,https://www.nmdhsem.org/grants/,
Connecticut,2,5,1,4,1,1,5,4,5,3.7,Tier 4 - Monitor,"Flood, hurricane, nor'easter","HSGP, DEMHS grants, EMPG",https://portal.ct.gov/demhs,https://portal.ct.gov/demhs/funding-and-grants,
Wisconsin,2,5,1,1,4,1,4,4,5,3.6,Tier 4 - Monitor,"Flood, tornado, severe storms","HSGP, WEM grants, EMPG, AFG",https://wem.wi.gov,https://wem.wi.gov/grants/,
Montana,6,4,3,1,2,1,2,4,5,3.5,Tier 4 - Monitor,"Wildfire, drought, severe weather","HSGP, DES grants, AFG, EMPG",https://dma.mt.gov/Disaster-and-Emergency-Services,https://dma.mt.gov/Disaster-and-Emergency-Services/Grants,
West Virginia,2,6,2,1,2,1,2,4,5,3.3,Tier 4 - Monitor,"Flood, landslide, severe storms","HSGP, EMD grants, HMGP, EMPG",https://emd.wv.gov,https://emd.wv.gov/Pages/GrantPrograms.aspx,
New Hampshire,2,5,1,2,1,1,3,4,5,3.3,Tier 4 - Monitor,"Flood (97.2% maps outdated), nor'easter, winter storms","HSGP, HSEM grants, HMGP, EMPG",https://www.nh.gov/safety/divisions/hsem,https://www.nh.gov/safety/divisions/hsem/grants/,
Rhode Island,2,5,1,4,1,1,4,3,4,3.1,Tier 4 - Monitor,"Flood, hurricane, coastal surge","HSGP, RIEMA grants, EMPG",https://www.riema.ri.gov,https://www.riema.ri.gov/grants,
Maine,2,4,1,3,1,1,3,3,4,2.9,Tier 4 - Monitor,"Flood, nor'easter, winter storms","HSGP, MEMA grants, EMPG",https://www.maine.gov/mema,https://www.maine.gov/mema/grants,
Wyoming,4,3,3,1,3,1,2,3,4,2.9,Tier 4 - Monitor,"Wildfire, severe weather, earthquake","HSGP, HLS grants, EMPG, AFG",https://hls.wyo.gov,https://hls.wyo.gov/grants,
North Dakota,2,5,1,1,5,1,2,3,4,2.9,Tier 4 - Monitor,"Flood, tornado, severe storms","HSGP, DES grants, EMPG",https://www.nd.gov/des,https://www.nd.gov/des/grants,
Vermont,2,5,1,1,1,1,2,3,4,2.6,Tier 4 - Monitor,"Flood, severe storms, winter weather","HSGP, VEM grants, EMPG",https://vem.vermont.gov,https://vem.vermont.gov/funding,
